conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version,onset_lat,onset_lon,onset_loc,onset_loc_prec,onset_loc_sovereignty,common_name,start_date2_changed,start_prec2_changed,coder,coder_remarks,year_diff,onset2,onset3,onset4,onset5,onset6,onset7,onset8,onset9,primary_onset,,
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2018,1,1,3,1946-05-31,3,2018-08-11,1,1,2018-10-12,,630,,,,630,2,25.1,37.040,45.098,"(37.0397, 45.0983)",2,Iraq,Iran/Kurds Conflict (Western Iran Clashes),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
206,Iran,Government of Iran,114,,Republic of Azerbaijan,165,Government of Russia (Soviet Union),1,Azerbaijan,1946,1,0,4,1945-11-19,1,1946-12-16,5,1,1946-12-16,,630,,,365,630,2,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
207,Israel,Government of United Kingdom,28,,IZL [Etzel],166,,1,Israel,1946,1,0,1,1939-03-31,4,1946-12-31,5,1,1946-12-31,,200,,,,666,2,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1946,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1946,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
209,Philippines,Government of Philippines,154,,CPP,169,,2,,1969,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,25.1,16.566,121.263,"(16.5661, 121.2625)",4,Philippines,Philippines Rebellion (New People’s Army Rebellion),0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details. Unclear start date.",15,1,1,1,1,1,1,1,1,0,,
209,Philippines,Government of Philippines,154,,CPP,169,,2,,1997,1,1,3,1946-07-31,4,1997-11-23,1,1,1997-12-30,,840,,,,840,3,25.1,13.137,123.734,"(13.1372, 123.7344)",1,Philippines,Philippines Rebellion (CPP-NPA Insurgency),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
209,Philippines,Government of Philippines,154,,CPP,169,,2,,1999,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,25.1,7.167,126.333,"(7.1667, 126.3333)",4,Philippines,Philippines Rebellion (CPP-NPA Insurgency),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
210,Russia (Soviet Union),Government of Russia (Soviet Union),57,,Forest Brothers,171,,1,Estonia,1946,1,0,3,1944-12-31,6,1946-12-31,5,0,,,365,,,,365,1,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
211,Russia (Soviet Union),Government of Russia (Soviet Union),57,,"LNPA, LTS(p)A","172, 173",,1,Latvia,1946,1,0,3,1945-12-31,5,1946-12-31,5,1,1946-12-31,,365,,,,365,1,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
212,Russia (Soviet Union),Government of Russia (Soviet Union),57,,BDPS,174,,1,Lithuania,1946,2,1,3,1946-06-30,4,1946-06-30,4,0,,,365,,,,365,1,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
213,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1946,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
214,"France, Thailand",Government of France,33,,Government of Thailand,147,,1,Northern Cambodia,1946,1,0,2,1946-05-07,1,1946-05-07,1,1,1946-11-17,,220,,800,,"220, 800","1, 3",25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
215,"Albania, United Kingdom",Government of Albania,45,,Government of United Kingdom,28,,1,Korfu Channel,1946,1,0,2,1946-10-22,1,1946-10-22,1,1,1946-12-31,,339,,200,,"200, 339",1,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1946,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
217,China,Government of China,135,,Taiwanese insurgents,177,,1,Taiwan,1947,2,1,3,1947-02-28,1,1947-02-28,1,1,1947-03-24,,710,,,,710,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1948,2,1,2,1948-12-31,5,1948-12-31,5,1,1948-12-31,,750,,770,,"750, 770",3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1964,1,1,2,1948-12-31,5,1964-02-27,5,0,,,750,,770,,"750, 770",3,25.1,33.278,75.341,"(33.2778, 75.3411)",4,India,Indo-Pakistani War (1965),1,0,Anna Stravato,**Start_date2 changed from 1964-12-31 to 1964-02-27,16,1,1,1,1,1,1,1,1,0,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1971,2,1,2,1948-12-31,5,1971-12-03,1,1,1971-12-17,,750,,770,,"750, 770",3,25.1,25.525,70.157,"(25.5249, 70.1567)",2.1,India,"Indo-Pakistani War (1971, Battle of Longewala)",0,0,Anna Stravato,"Start date Dec 4-7, 1971",6,1,1,1,1,1,0,0,0,0,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1984,1,1,2,1948-12-31,5,1984-12-31,5,1,1984-12-31,,750,,770,,"750, 770",3,25.1,35.452,76.841,"(35.4519, 76.8408)",2.2,India,Indo-Pakistani War (Siachen Dispute),0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details. Start date April 1984.",13,1,1,1,1,1,1,1,1,0,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1987,1,1,2,1948-12-31,5,1987-09-25,3,1,1987-12-31,,750,,770,,"750, 770",3,25.1,36.000,76.000,"(36.0000, 75.9997)",5,India,Indo-Pakistani War (Kashmir Clash),1,1,Anna Stravato,**Start_date2 changed from 1987-12-31 to 1987-09-25. Changed start_prec2 from 5 to 3,3,1,1,0,0,0,0,0,0,0,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1989,1,1,2,1948-12-31,5,1989-12-31,5,0,,,750,,770,,"750, 770",3,25.1,32.565,74.676,"(32.565, 74.676)",5,India,Indo-Pakistani War (Kashmiri Insurgency),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1994,1,1,2,1948-12-31,5,1994-06-28,5,1,1994-11-28,,750,,770,,"750, 770",3,25.1,33.339,74.321,"(33.3392, 74.3205",2,India,Indo-Pakistani War (Kashmiri Insurgency),0,0,Anna Stravato,UcdpPrioRice start date: 06/28/94. GEDEvent start date: 05/13/94,2,1,0,0,0,0,0,0,0,0,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1996,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,25.1,32.565,74.676,"(32.5650, 74.6760)",5,India,Indo-Pakistani War (Kashmiri Insurgency) ,0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,2013,1,1,2,1948-12-31,5,2013-10-04,1,0,,,750,,770,,"750, 770",3,25.1,33.446,73.916,"(33.4456, 73.9156)",3,India,Indo-Pakistani War (Kashmiri Insurgency),0,0,Anna Stravato,,10,1,1,1,1,1,1,1,1,0,,
219,Madagascar (Malagasy),Government of France,33,,MDRM,179,,1,Malagasy,1947,2,1,1,1947-03-29,1,1947-03-29,1,1,1947-12-31,,220,,,,580,4,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
220,Paraguay,Government of Paraguay,24,,"Opposition coalition (Febreristas, Liberals and Communists)",722,,2,,1947,2,1,3,1947-03-07,2,1947-03-31,3,1,1947-08-21,,150,,,,150,5,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
220,Paraguay,Government of Paraguay,24,,Military faction (forces of Alfredo Stroessner),723,,2,,1954,1,1,3,1947-03-07,2,1954-05-05,1,1,1954-05-05,,150,,,,150,5,25.1,-25.264,-57.576,"(-25.2636, -57.5758)",2.1,Paraguay,Paraguayan coup d’état (1954),0,0,Anna Stravato,,7,1,1,1,1,1,1,0,0,0,,
220,Paraguay,Government of Paraguay,24,,Military faction (forces of Andres Rodriguez),724,,2,,1989,1,1,3,1947-03-07,2,1989-02-03,1,1,1989-02-03,,150,,,,150,5,25.1,-25.294,-57.611,"(-25.2939, -57.6111)",1,Paraguay,"Paraguayan coup d’état (1989, or La Noche de la Candelaria)",0,0,Anna Stravato,,35,1,1,1,1,1,1,1,1,0,,
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNUP,890,,1,Karen,1949,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNU,180,,1,Karen,1994,1,1,3,1948-12-31,3,1994-12-31,5,0,,,775,,,,775,3,25.1,17.837,97.678,"(17.8370, 97.6780)",2,Myanmar,Karen Conflict,0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNU,180,,1,Karen,1997,1,1,3,1948-12-31,3,1997-02-23,3,0,,,775,,,,775,3,25.1,17.500,97.750,"(17.5000, 97.7500)",4,Myanmar,Karen Conflict,0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
221,Myanmar (Burma),Government of Myanmar (Burma),144,,"God's Army, KNU","180, 181",,1,Karen,2000,1,1,3,1948-12-31,3,2000-03-03,1,0,,,775,,,,775,3,25.1,22.000,98.000,"(22.0000, 98.0000)",6,Myanmar,Karen Conflict,0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
221,Myanmar (Burma),Government of Myanmar (Burma),144,,DKBA 5,1107,,1,Karen,2013,1,1,3,1948-12-31,3,2013-04-29,2,1,2013-04-29,,775,,,,775,3,25.1,17.124,97.818,"(17.1239, 97.8184)",2,Myanmar,Karen Conflict,0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNU,180,,1,Karen,2021,1,1,3,1948-12-31,3,2021-04-27,1,0,,,775,,,,775,3,25.1,18.782,97.325,"(18.7817, 97.3245)",5,Myanmar,Karen Conflict,0,0,Anna Stravato,,8,1,1,1,1,1,1,1,0,0,,
222,Myanmar (Burma),Government of Myanmar (Burma),144,,"CPB, CPB-RF, PVO - ""White Band"" faction","182, 183, 184",,2,,1948,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
222,Myanmar (Burma),Government of Myanmar (Burma),144,,ABSDF,185,,2,,1990,1,1,3,1948-02-29,4,1990-12-31,5,0,,,775,,,,775,3,25.1,22.000,98.000,"(22.0000, 98.0000) ",6,Myanmar,Myanmar Conflict (ABSDF Conflict),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
222,Myanmar (Burma),Government of Myanmar (Burma),144,,ABSDF,185,,2,,1994,1,1,3,1948-02-29,4,1994-12-31,5,1,1994-12-31,,775,,,,775,3,25.1,22.000,98.000,"(22.0000, 98.0000)",6,Myanmar,Myanmar Conflict (ABSDF Conflict),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
222,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2013,1,1,3,1948-02-29,4,2013-11-15,1,0,,,775,,,,775,3,25.1,22.000,98.000,"(22.0000, 98.0000)",4,Myanmar,Myanmar Conflict (Myanmar Civil War),0,0,Anna Stravato,,19,1,1,1,1,1,1,1,1,0,,
222,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2017,1,1,3,1948-02-29,4,2017-04-29,1,0,,,775,,,,775,3,25.1,23.181,97.538,"(23.1806, 97.5384)",2,Myanmar,Myanmar Conflict (Myanmar Civil War),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
222,Myanmar (Burma),Government of Myanmar (Burma),144,,NUG,8060,,2,,2021,1,1,3,1948-02-29,4,2021-05-03,1,0,,,775,,,,775,3,25.1,22.641,93.602,"(22.6405, 93.6018",1,Myanmar,Myanmar Conflict (Burmese Spring Revolution),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1948,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"ANLP, CPA","1049, 1052",,1,Arakan,1964,1,0,3,1948-01-31,4,1964-12-31,6,0,,,775,,,,775,3,25.1,20.104,93.581,"(20.1039, 93.5811)",4,Myanmar,Myanmar Civil War/Arakan Insurgency,0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details.",3,1,1,0,0,0,0,0,0,0,,
223,Myanmar (Burma),Government of Myanmar (Burma),144,,RSO,187,,1,Arakan,1991,1,1,3,1948-01-31,4,1991-12-29,3,1,1991-12-29,,775,,,,775,3,25.1,20.817,92.367,"(20.81667, 92.36667)",1,Myanmar,Rohingya Conflict,0,0,Anna Stravato,,13,1,1,1,1,1,1,1,1,0,,
223,Myanmar (Burma),Government of Myanmar (Burma),144,,RSO,187,,1,Arakan,1994,1,1,3,1948-01-31,4,1994-05-15,5,1,1994-06-23,,775,,,,775,3,25.1,19.000,24.250,"(19.0000, 24.2500)",4,Myanmar,Rohingya Conflict ,0,0,Anna Stravato,UcdpPrioRice start date: 05/15/1994. GEDEvent start date: 03/15/1994,3,1,1,0,0,0,0,0,0,0,,
223,Myanmar (Burma),Government of Myanmar (Burma),144,,ARSA,6692,,1,Arakan,2016,1,1,3,1948-01-31,4,2016-10-11,1,0,,,775,,,,775,3,25.1,19.000,94.250,"(19.0000, 94.2500)",4,Myanmar,Rohingya Conflict,0,0,Anna Stravato,,22,1,1,1,1,1,1,1,1,0,,
223,Myanmar (Burma),Government of Myanmar (Burma),144,,ULA,3051,,1,Arakan,2022,1,1,3,1948-01-31,4,2022-08-25,1,0,,,775,,,,775,3,25.1,21.137,92.328,"(21.1366, 92.3282)",1,Myanmar,Rohingya Conflict,0,0,Anna Stravato,UcdpPrioRice start date: 08/25/2022/ GEDEvent start date: 08/27/2022,2,1,0,0,0,0,0,0,0,0,,
224,Myanmar (Burma),Government of Myanmar (Burma),144,,MFL-MUF,188,,1,Mon,1949,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
224,Myanmar (Burma),Government of Myanmar (Burma),144,,NMSP,190,,1,Mon,1990,1,0,3,1948-12-31,3,1990-02-13,3,1,1990-03-22,,775,,,,775,3,25.1,15.302,98.402,"(15.3017, 98.4019)",1,Myanmar,Burma/Mons Conflict (1990),0,0,Anna Stravato,UcdpPrioRice start date: 02/13/1990. GEDEvent start date: 01/30/1990,27,1,1,1,1,1,1,1,1,0,,
224,Myanmar (Burma),Government of Myanmar (Burma),144,,BMA,191,,1,Mon,1996,1,0,3,1948-12-31,3,1996-12-23,5,1,1996-12-23,,775,,,,775,3,25.1,16.250,97.750,"(16.2500, 97.7500)",4,Myanmar,Burma/Mons Conflict (1996),0,0,Anna Stravato,UcdpPrioRice start date: 12/23/1996. GEDEvent start date: 11/01/1996,6,1,1,1,1,1,0,0,0,0,,
225,Costa Rica,Government of Costa Rica,15,,National Liberation Army,725,,2,,1948,2,1,3,1948-03-03,2,1948-03-03,2,1,1948-04-20,,94,,,,94,5,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
226,"Hyderabad, India",Government of Hyderabad,2,,Government of India,141,,1,Hyderabad,1948,2,1,2,1948-09-13,2,1948-09-13,2,1,1948-09-18,,751,,750,,"750, 751",3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
227,India,Government of India,141,,CPI,178,,2,,1948,2,1,3,1948-05-01,1,1948-09-18,2,0,,,750,,,,750,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
227,India,Government of India,141,,CPI-ML,192,,2,,1969,1,1,3,1948-05-01,1,1969-12-31,5,0,,,750,,,,750,3,25.1,15.913,79.740,"(15.9128, 79.7397)",4,India,Naxalite Uprising,0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details.",18,1,1,1,1,1,1,1,1,0,,
227,India,Government of India,141,,PWG,193,,2,,1991,1,1,3,1948-05-01,1,1991-07-16,1,0,,,750,,,,750,3,25.1,23.500,78.500,"(23.5000, 78.5000)",4,India,Naxalite Uprising,0,0,Anna Stravato,,20,1,1,1,1,1,1,1,1,0,,
227,India,Government of India,141,,PWG,193,,2,,1996,1,1,3,1948-05-01,1,1996-04-03,1,0,,,750,,,,750,3,25.1,22.010,83.990,"(22.0100, 83.9900)",5,India,Naxalite Uprising,0,0,Anna Stravato,UcdpPrioRice start date: 04/03/1996. GEDEvent start date: 01/01/1996.,2,1,0,0,0,0,0,0,0,0,,
228,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria","117, 116, 120, 119, 118",,Government of Israel,121,,1,Palestine,1948,2,1,2,1948-04-15,1,1948-04-15,1,0,,,"651,  645,  663,  660,  652",,666,,"645, 651, 652, 660, 663, 666",2,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
229,Malaysia,Government of United Kingdom,28,,CPM,196,,1,Malaya,1948,1,0,1,1948-06-19,1,1948-06-19,1,0,,,200,,,,820,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
230,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Opposition coalition,197,,2,,1948,2,1,3,1948-03-15,1,1948-03-15,3,1,1948-03-15,,678,,,,678,2,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
230,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of Egypt,Royalists,198,,2,,1962,2,1,4,1948-03-15,1,1962-10-31,3,0,,,678,651,,,678,2,25.1,15.354,44.206,"(15.3544, 44.2064)",2.1,Yemen,Conflict in Yemen (North Yemen Civil War),0,0,Anna Stravato,UcdpPrioRice start date: 10/31/1962. GEDEvent start date: 09/26/1962,14,1,1,1,1,1,1,1,1,0,,
230,Yemen (North Yemen),Government of Yemen (North Yemen),123,,NDF,199,,2,,1979,1,1,3,1948-03-15,1,1979-03-31,4,0,,,678,,,,678,2,25.1,13.578,44.018,"(13.5775, 44.0178)",5,Yemen,Conflict in Yemen (The Second Yemenite War),0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details.",9,1,1,1,1,1,1,1,1,0,,
230,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2009,1,1,4,1948-03-15,1,2009-12-17,1,0,,,678,2,,,678,2,25.1,13.974,46.455,"(13.9744, 46.4547)",3,Yemen,Conflict in Yemen (Al-Majalah Camp Attack),0,0,Anna Stravato,,27,1,1,1,1,1,1,1,1,0,,
231,Myanmar (Burma),Government of Myanmar (Burma),144,,PNDF,200,,1,Kachin,1949,1,0,3,1949-12-31,6,1949-12-31,6,0,,,775,,,,775,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
231,Myanmar (Burma),Government of Myanmar (Burma),144,,KIO,201,,1,Kachin,1961,2,1,3,1949-12-31,6,1961-02-28,4,0,,,775,,,,775,3,25.1,25.851,97.438,"(25.8508, 97.4381)",4,Myanmar,Kachin Conflict,0,0,Anna Stravato,,11,1,1,1,1,1,1,1,1,0,,
231,Myanmar (Burma),Government of Myanmar (Burma),144,,KIO,201,,1,Kachin,2011,1,1,3,1949-12-31,6,2011-06-27,1,0,,,775,,,,775,3,25.1,25.195,96.598,"(25.1950, 96.5977)",3,Myanmar,Kachin Conflict,0,0,Anna Stravato,UcdpPrioRice start date: 06/27/2011. GEDEvent start date: 06/17/2011,19,1,1,1,1,1,1,1,1,0,,
