conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version,onsetprimregion,onsetlocation,locprec,latitude,longitude,sources,coder
11347,Mali,Government of Mali,72,,AQIM,539,,2,,2009,1,0,3,6/10/09,1,6/16/09,1,1,7/16/09,,432,,,,432,4,24.1,,,,16.770456,-3.005588,,Tyler
11347,Mali,Government of Mali,72,,"Ansar Dine, Military faction (Red Berets)","1157, 1164",,2,,2012,1,0,3,6/10/09,1,1/24/12,1,0,,,432,,,,432,4,24.1,,,,19.461389,0.858889,,Tyler
11348,"South Sudan, Sudan",Government of South Sudan,113,,Government of Sudan,112,,1,Common border,2012,1,0,2,3/27/12,1,3/27/12,1,1,12/26/12,,626,,625,,"625, 626",4,24.1,,,,11,30,,Tyler
11349,China,Government of China,135,,ETIM,1156,,1,East Turkestan,2008,1,0,3,4/5/90,1,8/10/08,1,1,8/29/08,,710,,,,710,3,24.1,,,,39.483333,76.65,,Tyler
11350,Bangladesh,Government of Bangladesh,143,,"PBCP, PBCP-J","1165, 805",,2,,2005,1,0,3,4/24/94,1,2/8/05,1,0,,,771,,,,771,3,24.1,,,,23.92471,89.02958,,Tyler
11447,Ethiopia,Government of Ethiopia,97,,IGLF,1115,,1,Hararghe,1991,1,0,3,10/10/91,2,10/10/91,2,1,10/10/91,,530,,,,530,4,24.1,,,,9.30944,42.12583,,Tyler
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,1991,1,0,3,12/31/91,3,12/31/91,3,1,12/31/91,,775,,,,775,3,24.1,,,,23.5,95.5,,Tyler
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,1995,1,0,3,12/31/91,3,4/17/95,3,1,5/3/95,,775,,,,775,3,24.1,,,,23.75,93.733333,,Tyler
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,2000,1,0,3,12/31/91,3,2/28/00,3,0,,,775,,,,775,3,24.1,,,,23.5,95.5,,Tyler
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,2005,1,0,3,12/31/91,3,1/31/05,3,0,,,775,,,,775,3,24.1,,,,23.5,95.5,,Tyler
11487,Malaysia,Government of Malaysia,152,,Sultanate of Sulu,4006,,1,Sabah,2013,1,0,3,3/1/13,1,3/2/13,1,1,4/24/13,,820,,,,820,3,24.1,,,,5.154722,119.213888,,Tyler
13042,Syria,Government of Syria,118,,PYD,4163,,1,Rojava Kurdistan,2012,1,0,3,9/10/11,2,9/7/12,1,0,,,652,,,,652,2,24.1,,,,36.201241,37.161173,,Tyler
13219,Ukraine,Government of Ukraine,61,,Maidan,5817,,2,,2014,1,0,3,1/22/14,1,2/18/14,1,1,2/21/14,,369,,,,369,1,24.1,,,,50.45,30.52333,,Tyler
13243,"Russia (Soviet Union), Ukraine",Government of Russia (Soviet Union),57,,Government of Ukraine,61,,3,Crimea,2022,2,1,2,3/18/14,1,2/24/22,1,0,,,365,,369,,"365, 369",1,24.1,,,,46.253349,33.293286,,Tyler
13246,Ukraine,Government of Ukraine,61,,DPR,5840,Government of Russia (Soviet Union),1,Donetsk,2014,2,1,4,4/8/14,1,5/2/14,1,1,9/15/14,,369,,,365,369,1,24.1,,,,48.817931,37.551012,,Tyler
13247,Ukraine,Government of Ukraine,61,,LPR,5839,Government of Russia (Soviet Union),1,Lugansk,2014,2,1,4,5/4/14,1,6/14/14,1,1,9/17/14,,369,,,365,369,1,24.1,,,,48.757115,39.148348,,Tyler
13306,Ukraine,Government of Ukraine,61,,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),1,Novorossiya,2014,2,1,4,9/16/14,1,9/18/14,1,0,,,369,,,365,369,1,24.1,,,,48,37.805278,,Tyler
13324,"Kyrgyzstan, Tajikistan",Government of Kyrgyzstan,132,,Government of Tajikistan,131,,1,Common Border,2021,1,0,2,7/10/14,1,5/1/21,2,0,,,703,,702,,"702, 703",3,24.1,,,,39.61277,69.34112,,Tyler
13588,Russia (Soviet Union),Government of Russia (Soviet Union),57,,IS,234,,1,Islamic State,2015,1,0,3,3/21/15,1,8/1/15,2,0,,,365,,,,365,1,24.1,,,,43.4846,43.6071,,Tyler
13604,Syria,Government of Syria,118,,IS,234,,1,Islamic State,2013,2,1,3,3/26/13,1,7/25/13,1,0,,,652,,,,652,2,24.1,,,,36.201241,37.161173,,Tyler
13611,Mali,Government of Mali,72,,FLM,6267,,1,Macina Empire,2015,1,0,3,1/5/15,1,6/27/15,1,1,10/28/15,,432,,,,432,4,24.1,,,,15.168751,-7.284659,,Tyler
13637,Afghanistan,Government of Afghanistan,130,"Government of Pakistan, Government of United States of America",IS,234,,1,Islamic State,2015,1,0,4,2/9/15,1,3/3/15,1,0,,,700,"2, 770",,,700,3,24.1,,,,32.860043,67.181449,,Tyler
13638,Cameroon,Government of Cameroon,83,Government of Chad,IS,234,,1,Islamic State,2015,1,0,4,3/19/15,1,8/11/15,1,0,,,471,483,,,471,4,24.1,,,,11,14.5,,Tyler
13638,Cameroon,Government of Cameroon,83,Government of Chad,IS,234,,1,Islamic State,2019,1,0,4,3/19/15,1,4/27/19,1,1,9/17/19,,471,483,,,471,4,24.1,,,,12.87784,14.297286,,Tyler
13638,Cameroon,Government of Cameroon,83,Government of Nigeria,IS,234,,1,Islamic State,2021,1,0,4,3/19/15,1,7/9/21,1,1,11/28/21,,471,475,,,471,4,24.1,,,,12.482846,14.190468,,Tyler
13638,Cameroon,Government of Cameroon,83,,IS,234,,1,Islamic State,2023,1,0,3,3/19/15,1,6/5/23,2,0,,,471,,,,471,4,24.1,,,,11.18417,13.91423,,Tyler
13639,Niger,Government of Niger,75,Government of Chad,IS,234,,1,Islamic State,2015,1,0,4,3/26/15,1,3/30/15,1,0,,,436,483,,,436,4,24.1,,,,13.31536,12.611345,,Tyler
13640,Chad,Government of Chad,87,,IS,234,,1,Islamic State,2015,1,0,3,5/27/15,1,5/27/15,1,1,11/1/15,,483,,,,483,4,24.1,,,,13.53333,14.65,,Tyler
13640,Chad,Government of Chad,87,,IS,234,,1,Islamic State,2017,1,0,3,5/27/15,1,5/5/17,1,0,,,483,,,,483,4,24.1,,,,13.377031,14.530923,,Tyler
13641,Nigeria,Government of Nigeria,84,"Government of Cameroon, Government of Chad, Government of Niger",IS,234,,1,Islamic State,2015,2,1,4,3/15/15,1,3/22/15,1,0,,,475,"436, 471, 483",,,475,4,24.1,,,,11.591862,13.506214,,Tyler
13645,Yemen (North Yemen),Government of Yemen (North Yemen),123,,IS,234,,1,Islamic State,2015,1,0,3,3/20/15,1,3/20/15,1,1,10/6/15,,678,,,,678,2,24.1,,,,15.354722,44.206667,,Tyler
13645,Yemen (North Yemen),Government of Yemen (North Yemen),123,,IS,234,,1,Islamic State,2017,1,0,3,3/20/15,1,5/18/17,1,1,5/18/17,,678,,,,678,2,24.1,,,,14.415097,44.837089,,Tyler
13645,Yemen (North Yemen),Government of Yemen (North Yemen),123,,IS,234,,1,Islamic State,2020,1,0,3,3/20/15,1,8/20/20,1,1,9/18/20,,678,,,,678,2,24.1,,,,14.642328,44.838166,,Tyler
13646,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2015,1,0,3,3/13/15,1,7/13/15,1,0,,,501,,,,501,4,24.1,,,,-2.033333,40.783333,,Tyler
13648,Egypt,Government of Egypt,117,,IS,234,,1,Islamic State,2015,1,0,3,2/1/05,1,1/29/15,1,0,,,651,,,,651,2,24.1,,,,31.216297,34.110742,,Tyler
13653,India,Government of India,141,,UNLFW,6320,,1,Western South East Asia,2015,1,0,3,4/19/15,1,6/4/15,1,0,,,750,,,,750,3,24.1,,,,24.481739,94.305565,,Tyler
13674,Bangladesh,Government of Bangladesh,143,,IS,234,,1,Islamic State,2016,1,0,3,11/4/15,1,8/29/16,1,0,,,771,,,,771,3,24.1,,,,23.723056,90.408611,,Tyler
13675,Lebanon,Government of Lebanon,119,,IS,234,,1,Islamic State,2014,1,0,3,6/25/14,1,8/3/14,2,0,,,660,,,,660,2,24.1,,,,34.179444,36.420833,,Tyler
13675,Lebanon,Government of Lebanon,119,,IS,234,,1,Islamic State,2017,1,0,3,6/25/14,1,8/19/17,1,1,8/27/17,,660,,,,660,2,24.1,,,,34.274353,36.502374,,Tyler
13692,"Afghanistan, United Kingdom, United States of America",Government of Afghanistan,130,,"Government of United Kingdom, Government of United States of America","28, 3",,2,,2001,2,1,2,10/7/01,1,10/7/01,1,1,11/13/01,,700,,"200,  2",,"2, 200, 700","1, 3, 5",24.1,,,,31.611795,65.705795,,Tyler
13694,Libya,Government of Libya,111,,IS,234,,1,Islamic State,2015,1,0,3,3/14/15,1,3/18/15,1,0,,,620,,,,620,4,24.1,,,,31.208924,16.588661,,Tyler
13721,Algeria,Government of Algeria,109,,IS,234,,1,Islamic State,2015,1,0,3,10/10/14,1,5/20/15,1,1,5/20/15,,615,,,,615,4,24.1,,,,36.7565,3.43333,,Tyler
13809,Syria,Government of Syria,118,,SDF,6288,,3,Rojava Kurdistan,2016,1,0,3,12/6/15,1,4/23/16,1,1,11/28/16,,652,,,,652,2,24.1,,,,37.052152,41.231422,,Tyler
13809,Syria,Government of Syria,118,,SDF,6288,,3,Rojava Kurdistan,2018,1,0,3,12/6/15,1,9/8/18,1,1,12/23/18,,652,,,,652,2,24.1,,,,37.052152,41.231422,,Tyler
13809,Syria,Government of Syria,118,,SDF,6288,,3,Rojava Kurdistan,2023,1,0,3,12/6/15,1,11/6/23,1,0,,,652,,,,652,2,24.1,,,,35.02089,40.453455,,Tyler
13840,Burkina Faso,Government of Burkina Faso,78,Government of France,IS,234,,1,Islamic State,2019,1,0,4,10/23/17,1,8/19/19,1,0,,,439,220,,,439,4,24.1,,,,14.51248,-0.99094,,Tyler
13886,Jordan,Government of Jordan,120,,IS,234,,1,Islamic State,2016,1,0,3,3/2/16,2,12/18/16,1,1,12/29/16,,663,,,,663,2,24.1,,,,31.184722,35.704722,,Tyler
13902,Turkey,Government of Turkey,115,,IS,234,,1,Islamic State,2015,1,0,3,7/23/15,1,11/14/15,1,0,,,640,,,,640,2,24.1,,,,36.881667,37.562778,,Tyler
13936,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2016,1,0,3,2/12/16,1,10/24/16,1,0,,,770,,,,770,3,24.1,,,,30.183333,67,,Tyler
13936,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2021,1,0,3,2/12/16,1,12/20/21,1,0,,,770,,,,770,3,24.1,,,,34.016667,71.583333,,Tyler
14074,Somalia,Government of Somalia,95,,Republic of Somaliland,675,,1,Somaliland,2018,1,0,3,7/18/16,1,5/15/18,1,1,11/5/18,,520,,,,520,4,24.1,,,,8.540153,47.789644,,Tyler
14113,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)",IS,234,,1,Islamic State,2017,1,0,4,2/4/17,1,7/9/17,1,0,,,432,"2, 200, 210, 211, 220, 225, 235, 260, 305, 310, 316, 325, 346, 360, 366, 367, 368, 371, 375, 380, 385, 390, 404, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 530, 616, 651, 663, 678, 710, 760, 771, 780, 790, 811, 850, 92",,,432,4,24.1,,,,15.5502,2.7787,,Tyler
14129,Cameroon,Government of Cameroon,83,,Ambazonia insurgents,7332,,1,Ambazonia,2017,1,0,3,9/16/17,1,12/8/17,2,0,,,471,,,,471,4,24.1,,,,5.75132,9.3137,,Tyler
14197,Somalia,Government of Somalia,95,Government of United States of America,IS,234,,1,Islamic State,2019,1,0,4,2/8/18,2,6/4/19,1,0,,,520,2,,,520,4,24.1,,,,10.564926,50.421509,,Tyler
14268,Iran,Government of Iran,114,,IS,234,,1,Islamic State,2017,1,0,3,8/15/16,1,6/11/17,1,1,6/11/17,,630,,,,630,2,24.1,,,,27.44194,57.19198,,Tyler
14275,Philippines,Government of Philippines,154,,IS,234,,1,Islamic State,2016,1,0,3,6/1/16,1,6/1/16,2,0,,,840,,,,840,3,24.1,,,,6.499753,122.10943,,Tyler
14333,Tunisia,Government of Tunisia,110,,IS,234,,1,Islamic State,2016,1,0,3,3/18/15,1,3/7/16,1,1,3/21/16,,616,,,,616,4,24.1,,,,33.138889,11.216667,,Tyler
14609,"Iran, Israel",Government of Iran,114,,Government of Israel,121,,2,,2018,1,0,2,3/19/17,1,4/29/18,1,0,,,630,,666,,"630, 666",2,24.1,,,,35.106111,36.790833,,Tyler
14692,DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Malawi, Government of South Africa, Government of Tanzania",IS,234,,1,Islamic State,2017,1,0,4,11/22/17,1,12/8/17,2,0,,,490,"510, 553, 560",,,490,4,24.1,,,,0.739239,29.789729,,Tyler
14845,Mozambique,Government of Mozambique,100,,IS,234,,1,Islamic State,2019,1,0,3,6/4/19,2,8/7/19,1,0,,,541,,,,541,4,24.1,,,,-11.625833,40.176111,,Tyler
14935,Ethiopia,Government of Ethiopia,97,,Military faction (forces of Asaminew Tsige),7438,,1,Amhara,2019,1,0,3,6/22/19,1,6/22/19,1,1,6/24/19,,530,,,,530,4,24.1,,,,11.59364,37.39077,,Tyler
15183,Tanzania,Government of Tanzania,92,,IS,234,,1,Islamic State,2020,1,0,3,10/14/20,1,10/28/20,1,1,10/28/20,,510,,,,510,4,24.1,,,,-10.755979,39.726258,,Tyler
15256,Benin,Government of Benin,1209,,JNIM,6716,,2,,2022,1,0,3,2/9/20,1,10/12/22,2,0,,,434,,,,434,4,24.1,,,,10.914,1.069,,Tyler
15283,Central African Republic,Government of Central African Republic,86,"Government of Bangladesh, Government of Benin, Government of Bhutan, Government of Bolivia, Government of Brazil, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Congo, Government of Djibouti, Government of DR Congo (Zaire), Government of Egypt, Government of France, Government of Gabon, Government of Gambia, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Hungary, Government of Indonesia, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Madagascar, Government of Mali, Government of Mauritania, Government of Moldova, Government of Morocco, Government of Nepal, Government of Niger, Government of Nigeria, Government of Pakistan, Government of Paraguay, Government of Peru, Government of Romania, Government of Rwanda, Government of Senegal, Government of Serbia (Yugoslavia), Government of Sri Lanka, Government of Tanzania, Government of Thailand, Government of Togo, Government of Tunisia, Government of Turkey, Government of United States of America, Government of Vietnam (North Vietnam), Government of Yemen (North Yemen), Government of Zambia",FPRC,4007,,1,Logone,2015,1,0,4,2/10/15,1,10/10/15,1,1,10/10/15,,482,"135, 140, 145, 150, 2, 220, 310, 345, 359, 360, 420, 432, 433, 434, 435, 436, 437, 438, 439, 452, 461, 471, 475, 481, 484, 490, 501, 510, 516, 517, 522, 551, 580, 600, 616, 640, 651, 663, 678, 760, 770, 771, 780, 790, 800, 811, 816, 850, 90",,,482,4,24.1,,,,5.733333,19.083333,,Tyler
15283,Central African Republic,Government of Central African Republic,86,"Government of Bangladesh, Government of Benin, Government of Bhutan, Government of Brazil, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of China, Government of Congo, Government of Djibouti, Government of Egypt, Government of Gambia, Government of Ghana, Government of Guinea, Government of Indonesia, Government of Ivory Coast, Government of Jordan, Government of Mali, Government of Mauritania, Government of Morocco, Government of Nepal, Government of Niger, Government of Nigeria, Government of Pakistan, Government of Peru, Government of Portugal, Government of Romania, Government of Rwanda, Government of Senegal, Government of Serbia (Yugoslavia), Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Tanzania, Government of Togo, Government of Tunisia, Government of Turkey, Government of Zambia",MPC,6354,,1,Logone,2023,1,0,4,2/10/15,1,12/9/23,1,0,,,482,"135, 140, 230, 235, 345, 360, 380, 420, 432, 433, 434, 435, 436, 437, 438, 439, 452, 461, 471, 475, 484, 510, 516, 517, 522, 551, 600, 616, 640, 651, 663, 710, 760, 770, 771, 780, 790, 811, 850",,,482,4,24.1,,,,7.62768,16.963783,,Tyler
15438,Uganda,Government of Uganda,90,,IS,234,,1,Islamic State,2022,1,0,3,6/1/21,1,12/21/22,1,1,12/27/22,,500,,,,500,4,24.1,,,,0.933789,30.250484,,Tyler
16038,Mali,Government of Mali,72,,CSP-PSD,8822,,3,Azawad,2023,1,0,3,8/4/23,1,9/12/23,1,0,,,432,,,,432,4,24.1,,,,16.955,-0.34861,,Tyler
16069,Ethiopia,Government of Ethiopia,97,,Fano,8118,,3,Amhara,2023,2,1,3,5/25/23,2,6/27/23,2,0,,,530,,,,530,4,24.1,,,,12.123477,38.049918,,Tyler
200,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1952,1,1,3,7/18/46,1,4/9/52,1,1,4/12/52,,145,,,,145,5,24.1,La Paz,La Paz,1,-16.5,-68.15000153,Kohn 1986,Helge Holtermann
200,Bolivia,Government of Bolivia,23,,ELN,721,,2,,1967,1,1,3,7/18/46,1,3/31/67,3,1,10/16/67,,145,,,,145,5,24.1,Potosi,Iripiti,2,-19.29999924,-63.71666718,Selvage 1985,Helge Holtermann
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1966,1,1,3,5/31/46,3,12/31/66,5,0,,,630,,,,630,2,24.1,Kurdistan (region of Iran),.,5,35.5,47,Ciment (1996:67),Helge Holtermann
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1979,2,1,3,5/31/46,3,12/31/79,5,0,,,630,,,,630,2,24.1,Kurdistan (region of Iran),.,5,35.5,47,Ciment (1996:69); Keesing's (1979:29741),Helge Holtermann
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1990,1,1,3,5/31/46,3,7/10/90,2,1,8/17/90,,630,,,,630,2,24.1,,,,36.763056,45.722222,,Tyler
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1993,1,1,3,5/31/46,3,9/12/93,2,1,11/11/93,,630,,,,630,2,24.1,Iranian Kurdistan region,.,5,36.29999924,45.5,Minorities at Risk (2004),Helge Holtermann
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1996,1,1,3,5/31/46,3,7/28/96,2,1,7/28/96,,630,,,,630,2,24.1,Iranian Kurdistan region,.,5,36.08399963,44.62799835,MidEastWeb (2003); Minorities at Risk (2004),Helge Holtermann
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2016,1,1,3,5/31/46,3,9/7/16,2,1,12/20/16,,630,,,,630,2,24.1,,,,35.526944,46.176389,,Tyler
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2018,1,1,3,5/31/46,3,8/11/18,1,1,10/12/18,,630,,,,630,2,24.1,,,,35.1808,46.2544,,Tyler
209,Philippines,Government of Philippines,154,,CPP,169,,2,,1969,1,1,3,7/31/46,4,9/30/69,4,0,,,840,,,,840,3,24.1,"Pampanga, Central Luzon",Mabalacat,2,15.22333336,120.5791702,Uppsala Conflict Database,Helge Holtermann
209,Philippines,Government of Philippines,154,,CPP,169,,2,,1997,1,1,3,7/31/46,4,11/23/97,1,1,12/30/97,,840,,,,840,3,24.1,.,.,99,13.1372,123.7344,.,Tyler
209,Philippines,Government of Philippines,154,,CPP,169,,2,,1999,1,1,3,7/31/46,4,6/6/99,1,0,,,840,,,,840,3,24.1,,,,7.166667,126.333333,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1964,1,1,2,12/31/48,5,12/31/64,5,0,,,750,,770,,"750, 770",3,24.1,Kashmir,Rann of Kutch,,24.257072,70.065965,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1971,2,1,2,12/31/48,5,12/3/71,1,1,12/17/71,,750,,770,,"750, 770",3,24.1,Kashmir,Agra,,27.162211,77.992083,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1984,1,1,2,12/31/48,5,12/31/84,5,1,12/31/84,,750,,770,,"750, 770",3,24.1,Kashmir,Kashmir,,31.631835,76.402082,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1987,1,1,2,12/31/48,5,12/31/87,5,1,12/31/87,,750,,770,,"750, 770",3,24.1,Kashmir,Kashmir,,33.241931,75.344532,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1989,1,1,2,12/31/48,5,12/31/89,5,0,,,750,,770,,"750, 770",3,24.1,,,,33.91667,76.66667,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1994,1,1,2,12/31/48,5,6/28/94,5,1,11/28/94,,750,,770,,"750, 770",3,24.1,,,,33.947179,73.910401,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1996,1,1,2,12/31/48,5,12/31/96,5,0,,,750,,770,,"750, 770",3,24.1,,,,32.844283,74.70719,,Tyler
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,2013,1,1,2,12/31/48,5,10/4/13,1,0,,,750,,770,,"750, 770",3,24.1,,,,33.445591,73.915571,,Tyler
220,Paraguay,Government of Paraguay,24,,Military faction (forces of Alfredo Stroessner),723,,2,,1954,1,1,3,3/7/47,2,5/5/54,1,1,5/5/54,,150,,,,150,5,24.1,Central district,Asunción,1,-25.26666641,-57.66666794,Keesing’s (1954:13610),Helge Holtermann
220,Paraguay,Government of Paraguay,24,,Military faction (forces of Andres Rodriguez),724,,2,,1989,1,1,3,3/7/47,2,2/3/89,1,1,2/3/89,,150,,,,150,5,24.1,Central district,Asunción,1,-25.26666641,-57.66666794,Uppsala Conflict Database,Helge Holtermann
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNU,180,,1,Karen,1994,1,1,3,12/31/48,3,12/31/94,5,0,,,775,,,,775,3,24.1,Kayin state,.,5,17.5,97.75,Keesing’s (1995: 40365),Helge Holtermann
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNU,180,,1,Karen,1997,1,1,3,12/31/48,3,2/23/97,3,0,,,775,,,,775,3,24.1,,,,17.5,97.75,,Tyler
221,Myanmar (Burma),Government of Myanmar (Burma),144,,"God's Army, KNU","180, 181",,1,Karen,2000,1,1,3,12/31/48,3,3/3/00,1,0,,,775,,,,775,3,24.1,,,,16.943251,97.958868,,Tyler
221,Myanmar (Burma),Government of Myanmar (Burma),144,,DKBA 5,1107,,1,Karen,2013,1,1,3,12/31/48,3,4/29/13,2,1,4/29/13,,775,,,,775,3,24.1,,,,17.358333,97.679167,,Tyler
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNU,180,,1,Karen,2021,1,1,3,12/31/48,3,4/27/21,1,0,,,775,,,,775,3,24.1,,,,18.064,97.445,,Tyler
222,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2013,1,1,3,2/29/48,4,11/15/13,1,0,,,775,,,,775,3,24.1,,,,23.456667,97.940278,,Tyler
222,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2017,1,1,3,2/29/48,4,4/29/17,1,0,,,775,,,,775,3,24.1,,,,23.180624,97.538386,,Tyler
222,Myanmar (Burma),Government of Myanmar (Burma),144,,NUG,8060,,2,,2021,1,1,3,2/29/48,4,5/3/21,1,0,,,775,,,,775,3,24.1,,,,22.640507,93.601841,,Tyler
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"ANLP, CPA","1049, 1052",,1,Arakan,1964,1,0,3,1/31/48,4,12/31/64,6,0,,,775,,,,775,3,24.1,.,.,.,-9999,-9999,,Tyler
